"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belarus","BLR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10250000000","8000000000","8703703703.7037","9157024793.38843","8867908694.19268","8256105701.7241","8854769230.76923","8061662301.64844","8805432708.9837","7118405904.65112","7248621108.14196","7119388489.20863","8682300390.8431","10185080448.5617","12434629629.6296","15704271123.4912","19022424242.4242","23458713886.3001","31571020599.2509","28596025778.7325","31841490433.0312","30079457286.4322","31562756387.1896","38712894144.1441","41635133020.3443","29851764410.3981","26027910485.2904","29889326017.186","",
"Belize","BLZ","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","96477473.2877215","103104265.954343","100010628.371412","97387898.634102","93474635.1383855","100973889.856719","96919896.6568975","118738517.366038","139090163.422333","163778994.471837","168639881.749501","193550000","369819850","382225200","412107650","445689650","478491350","497221450","533573200","567240650","616476100","681513200","732646100","768918900","795868450","801804250","806752950","855375450","891922500","940267000","980781050","1045704150","1083873300","1136702700","1175637900","1226941400","1321399700","1293649350","",
"Bermuda","BMU","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3236402000","3161547000","3050789000","3025366000","3047049000","","","","","",
"Bolivia","BOL","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","314112088.682616","351758793.969849","376967895.958196","401592681.013039","421125561.361625","463804713.804714","517676767.676768","592087542.087542","649158249.158249","698653198.653199","749410774.410774","830808080.808081","913125235.050771","888355822.088956","1418290854.57271","1750024987.50625","1972013993.0035","2323288355.82209","2635682158.92054","2976577318.37497","3058727569.33116","4159869494.29038","4073561338.31317","3984803350.17053","4268298516.22017","3966672651.12072","3222021790.25578","3466536730.17495","3632303083.94036","3637436099.38774","3741315934.62878","4158872256.04647","4483762594.53916","4551692105.69506","4641154420.51726","5091380747.03664","5557197611.63441","5921505243.32452","6378122538.61091","6365979973.84901","6413108433.73494","6129841983.38101","5835733193.86332","5739542119.28139","5957809475.80645","6332707504.24617","7188879522.8296","8295226255.55686","10375367730.1716","11358006695.1567","12241479192.3409","14546679328.3083","16116291316.932","18452846599.1317","20766959334.2981","22578642547.0333","23388629667.1491","25376260926.1939","",
"Brazil","BRA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10051138972.4315","9760602842.81603","13956529618.205","15638607058.8764","14631217231.9027","14582684401.451","18436142915.7175","21886420484.8802","23902617597.0186","25009958476.5274","29017107274.6442","34238487325.4386","40778949205.9812","53545412119.2523","74371827324.778","82255120099.1262","104981221085.954","121841260949.32","137669580413.724","156458585051.017","163832188816.919","179159690538.868","195953143014.789","144841725771.584","147051346356.667","146645678332.018","181718682647.463","183109918561.605","196566284389.508","230373609375","273960000000","371170000000","246445625000","263039872670.808","341439073987.174","490097064291.163","554115745995.423","576814404730.983","554012068418.785","387685249462.721","423353893468.161","358600747470.453","314420830427.514","345291003249.919","402972647931.624","539474166118.961","669432055348.688","836503523188.331","1012929457956.16","1032826442932.88","1330244997726.24","1576885461501.67","1513918386155.34","1526098975001.16","1546283042923.93","1152782770747.54","1148561316451.71","1303885383624.74","",
"Barbados","BRB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","298469382.703827","322436869.947101","347468606.737094","388898225.028588","479938348.331925","537562770.347536","614179883.657336","627952070.79998","656838860.438522","711977328.096256","694575647.59111","869189081.68846","968229503.306319","951325013.672749","1043156167.65276","1401034157.01288","1454233580.27147","1432900000","1490627952.0708","1514890866.60369","1680157112.31542","1745637150.10192","1888629244.76707","2048128076.36852","2192711181.8227","2276950000","2328650000","2299650000","2147500000","2470650000","2808500000","3125900000","3142400000","3198950000","3100050000","3129050000","3329150000","3480700000","3724700000","3736450000","3752800000","3776400000","3965038600","",
"Brunei Darussalam","BRN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","77967910.0496532","128621431.282419","145297069.774972","171763548.413544","211521547.933157","297525981.789755","343732486.456193","407535381.265679","427102803.738318","436346426.881212","","","","","","795262267.343486","932413793.103448","992706645.056726","1293431553.10006","1582497833.89033","1587010606.259","1734866657.25977","1978014184.39716","2042025862.06897","1631214149.13958","1587020648.96755","1490119547.56381","1475665680.6385","1495955154.69675","1791419756.62955","2091100698.14223","2140854361.93223","2272263830.32287","2469643686.55033","2545865086.08524","2614464457.58284","2016868353.50202","2366642817.39407","2621638924.45583","2761349104.85933","2667719021.31018","2558004218.48862","2411280750.0181","2483297983.49724","",
"Bhutan","BTN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212142107.254117","187289203.221021","239326004.937256","285698458.565908","331794199.029126","427790571.428571","331916099.057541","644370359.263335","595249993.104273","637398590.650197","738705282.357006","756519428.761209","678831974.729215","1052257934.59823","1027480808.46148","1200328068.22557","1123345230.99086","1333920616.20108","",
"Botswana","BWA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","27948408.8041497","29786903.5959144","31615729.7069957","33292884.1045715","34960685.9054789","36646656.4288706","37866108.7866109","43932357.0432357","56624825.6624826","54797381.9802256","69444444.4444444","78229865.7718121","97321544.6625926","140901887.336119","179838116.261957","210682893.847194","226080956.76173","279038004.750594","348164694.518232","446809815.95092","551595470.921256","575714114.975499","517626493.153346","530403865.438964","529767406.038201","434352990.644381","492230323.026981","607570433.021621","685825221.480914","867760186.609757","1259715130.34131","1421794618.12426","1518249040.14789","1470265362.5521","1628622513.59607","1865341605.94474","1714247036.88105","1779774296.0447","1768309709.17438","1793746215.72528","1928789838.8804","1891426419.22893","2032791807.57925","2897717610.45678","3563842826.39732","3784431805.72949","3922260836.78854","4336718332.57314","4823432641.46245","5202379086.24617","6284159296.9854","7111384618.75932","7494361788.13771","7752147185.94102","7628559240.65017","7504112212.45928","7405002889.59014","8448620764.63653","",
"Central African Republic","CAF","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","80752040.3140193","84807957.7558682","86525715.8879557","93055024.8881299","96315875.1354952","100791280.861206","113156069.072413","125609255.901096","132490616.392402","138867234.111631","135309582.996717","140908234.234529","164664503.014749","183050598.683113","225587625.833646","332690326.620563","368276988.330219","432270140.75644","522033789.499854","611597497.386255","746910464.143249","597166104.776222","669564486.742951","551592620.176033","545692754.911413","684225053.031298","921035419.841244","968141650.634232","1020365407.61368","969899529.259897","1162945044.67709","1091678367.31395","1129090512.05969","1018994033.81661","625012720.533526","858868825.383393","846161684.511694","751278035.134273","805431901.385842","747807354.599024","709271975.345247","756323290.52294","800336429.512006","945957703.222108","1117713467.8113","1197603798.22021","1324314803.43575","1566787643.12487","1839314184.60557","1821629513.60512","1831237469.13343","1994902155.50556","1931721352.30431","1391352876.08291","1807186436.90017","1589611319.81682","1692914436.25906","1823883952.88326","",
"Canada","CAN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","48813209493.7315","54969954050.307","62757500555.6117","71065343265.6734","84753778629.8569","94230334447.5029","110619635192.698","114322217301.363","119165006487.245","129618591172.955","145772242473.486","160683126199.016","167283780497.69","183693605972.087","190018531387.538","196508971072.867","208441885570.349","236131975867.27","275187291785.163","308806587837.838","330567363729.859","348705594832.853","341066435012.824","332021548717.154","326446250732.279","336528708831.245","353928126145.948","370553950599.451","360044489383.215","379649323551.188","404073126388.795","405185304752.066","424025998852.992","496262222539.433","559131437355.88","634303515431.589","715122531734.838","800995251838.749","842675726335.52","788356224302.336","918641224143.775","999036217989.817","1021428083244.22","1030526835126.46","1003414735702.54","896119838772.627","893557661823.565","954788574967.297","",
"Central Europe and the Baltics","CEB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224720193717.149","244615222263.564","243747195118.646","266822204890.556","260113858439.057","257198892148.331","283247386336.642","321188084205.781","381126115189.045","455795649961.433","525899704534.558","587459636342.806","733825167100.108","888907281214.011","750291382281.507","766727007718.939","841555108815.601","792245522324.714","822658708259.873","836131290630.803","721942412419.956","739788613121.739","819382086244.41","",
